"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"171",1996-11-09,"78","64","62","59","56","52","82","66","39","30.18","30.09","30.01","6","6","6","17","9","","0.00","4","","50<br />","Nairobi (KEN)","Autumn"
"172",1996-11-10,"64","","64","57","57","57","77","77","77","30.09","30.09","30.09","6","6","6","7","7","","0.00","6","","50<br />","Nairobi (KEN)","Autumn"
"173",1996-11-11,"68","66","62","59","58","57","88","80","68","30.21","30.17","30.12","6","6","6","12","10","","0.00","5","","43<br />","Nairobi (KEN)","Autumn"
"174",1996-11-12,"66","62","59","61","60","57","100","91","82","30.24","30.15","30.09","6","5","4","14","10","","0.00","6","Rain","88<br />","Nairobi (KEN)","Autumn"
"175",1996-11-13,"64","62","59","59","58","57","100","88","77","30.18","30.11","30.06","6","6","6","10","7","","0.00","6","","33<br />","Nairobi (KEN)","Autumn"
"176",1996-11-14,"75","75","66","57","55","54","73","60","47","30.06","30.06","30.06","6","6","6","15","15","","0.00","4","","70<br />","Nairobi (KEN)","Autumn"
"177",1996-11-15,"69","64","59","61","59","57","94","86","68","30.15","30.11","30.06","6","6","6","16","10","","0.00","5","Rain","50<br />","Nairobi (KEN)","Autumn"
"178",1996-11-16,"73","65","59","59","56","52","100","72","47","30.18","30.12","30.09","6","6","6","21","14","","0.00","6","","77<br />","Nairobi (KEN)","Autumn"
"179",1996-11-17,"64","","64","55","55","55","73","73","73","30.12","30.12","30.12","6","6","6","6","6","","0.00","6","","90<br />","Nairobi (KEN)","Autumn"
"180",1996-11-18,"66","59","59","59","57","55","88","83","78","30.12","30.11","30.09","6","6","6","12","8","","0.00","2","","70<br />","Nairobi (KEN)","Autumn"
"181",1996-11-19,"62","60","60","61","60","59","94","94","94","30.06","30.06","30.06","6","6","6","7","6","","0.00","4","","55<br />","Nairobi (KEN)","Autumn"
"182",1996-11-20,"60","","60","59","59","59","94","94","94","30.06","30.06","30.06","6","6","6","8","8","","0.00","6","","30<br />","Nairobi (KEN)","Autumn"
"183",1996-11-21,"62","60","60","61","61","61","100","97","94","30.18","30.13","30.09","6","6","6","12","11","","0.00","6","","85<br />","Nairobi (KEN)","Autumn"
"184",1996-11-23,"64","64","62","61","59","57","88","85","82","30.12","30.11","30.09","6","6","6","13","10","","0.00","6","","65<br />","Nairobi (KEN)","Autumn"
"185",1996-11-24,"73","65","57","61","58","55","94","81","53","30.18","30.11","30.04","6","6","6","8","8","","0.00","3","","64<br />","Nairobi (KEN)","Autumn"
"186",1996-11-25,"75","62","60","59","58","55","94","76","50","30.18","30.10","30.04","6","6","6","5","3","","0.00","5","","46<br />","Nairobi (KEN)","Autumn"
"187",1996-11-26,"62","61","60","61","60","59","94","94","94","30.09","30.08","30.06","6","6","6","10","9","","0.00","6","","30<br />","Nairobi (KEN)","Autumn"
"188",1996-11-27,"64","62","60","61","60","59","94","91","83","30.18","30.13","30.09","6","6","6","9","7","","0.00","6","","58<br />","Nairobi (KEN)","Autumn"
"189",1996-11-28,"73","66","60","61","59","57","94","78","57","30.18","30.12","30.06","6","6","6","15","8","","0.00","4","Rain","86<br />","Nairobi (KEN)","Autumn"
"190",1996-11-29,"71","65","59","61","58","54","100","79","53","30.18","30.13","30.04","6","6","6","8","5","","0.00","6","Rain","44<br />","Nairobi (KEN)","Autumn"
"191",1996-11-30,"75","67","59","61","58","54","100","82","50","30.18","30.12","30.06","6","6","6","17","6","","0.00","4","","40<br />","Nairobi (KEN)","Autumn"
"192",1996-12-01,"75","68","60","59","58","55","94","81","50","30.18","30.12","30.06","6","6","6","17","9","","0.00","5","","52<br />","Nairobi (KEN)","Autumn"
"193",1996-12-02,"75","62","59","59","57","54","100","79","47","30.18","30.11","30.04","6","6","6","14","9","","0.00","4","","30<br />","Nairobi (KEN)","Autumn"
"194",1996-12-03,"75","67","59","64","55","48","100","73","38","30.18","30.11","30.04","6","6","6","14","8","","0.00","1","","41<br />","Nairobi (KEN)","Autumn"
